unique_id,new_block,now_trt,future,old_block,indiv,cross,colors,first_flower,wilt1,wilt2,wilt3,wilt4,wilt5,wilt6,wilt7,wilt8,wilt9,dead1,dead2,dead3
4,1,drought,early drought,12,4,T2315-2xT829-3,Y_Y,,,28-mar,,12-Apr,,25-Apr,,,,1,,
7,2,water,late drought,28,7,B1916-3xT2829-3,M_Y,19-Apr,22-mar,,,,24-Apr,,,,,1,1,
9,1,drought,early drought,16,2,B2913-2xP2409-9,M_M,,,26-mar,,9-Apr,,25-Apr,,,,1,,
13,2,water,late drought,12,6,T2315-2xT829-3,Y_Y,,,,,,,25-Apr,,,,1,,
27,2,water,water,50,11,V1014-5xL624-9,Y_Y,,,,,,,,,,,,,
29,2,water,water,23,1,B2315-1xP1423-7,M_M,,,,,,,,,,,,,
34,2,water,water,21,1,B1207-2xB1127-2,M_M,,,,,,24-Apr,,14-may,,,,,
37,2,water,water,33,10,B2311-1xT2829-3,M_Y,15-Apr,,,,,24-Apr,,,,,,,
38,1,drought,early drought,9,5,B1427-3xB3018-3,M_M,14-may,,28-mar,,9-Apr,,25-Apr,,,,,,
40,1,drought,early drought,36,4,T3105-1xT2813-2,Y_Y,,,,,12-Apr,,25-Apr,,,,,,
41,1,drought,early drought,12,2,T2315-2xT829-3,Y_Y,,,,,12-Apr,,25-Apr,,,,,,
43,1,drought,early drought,26,7,T829-3xT2930-2,Y_Y,,,,,12-Apr,,25-Apr,,,,,,
44,1,drought,early drought,14,5,B711-1xB1207-3,M_M,,,28-mar,,12-Apr,,30-Apr,,,,,,
45,2,water,water,11,1,T2420-1xT3105-1,Y_Y,07-may,,,,,,,,,,,,
51,1,drought,early drought,42,5,B2324-4xP513-10,M_M,,,28-mar,,8-Apr,,25-Apr,,,,,,
52,2,water,late drought,8,11,V2118-7xL2221-11,Y_Y,30-Apr,,,,,,26-Apr,,,,,,
53,1,drought,early drought,34,5,P2409-9xB2913-2,M_M,,,28-mar,,9-Apr,,30-Apr,,,,,,
56,1,drought,early drought,33,3,B2311-1xT2829-3,M_Y,,,,,9-Apr,,25-Apr,,,,,,
58,2,water,water,44,10,P1423-7xB2315-1,M_M,,,,,,,,,,,,,
59,1,drought,early drought,24,2,B2212-3xT2930-2,M_Y,25-Apr,,28-mar,,9-Apr,,25-Apr,,,,,,
60,1,drought,early drought,18,2,B1613-3xT2930-2,M_Y,24-Apr,,28-mar,,9-Apr,,25-Apr,,,,,,
62,1,drought,early drought,44,3,P1423-7xB2315-1,M_M,,,,,,,30-Apr,,,,,,
63,1,drought,early drought,21,3,B1207-2xB1127-2,M_M,10-may,,26-mar,,9-Apr,,25-Apr,,,,,,
65,2,water,water,36,7,T3105-1xT2813-2,Y_Y,,,,,,,,,,,,,
67,1,drought,early drought,9,3,B1427-3xB3018-3,M_M,,,26-mar,,9-Apr,,25-Apr,,,,,,
71,4,drought,early drought,3,2,B1223-1xT2315-2,M_Y,,,26-mar,,12-Apr,,26-Apr,,,,,,
72,2,water,water,50,10,V1014-5xL624-9,Y_Y,,,,,,,,,,,,,
73,2,water,late drought,42,11,B2324-4xP513-10,M_M,,,,,,,25-Apr,,,,,,
75,2,water,late drought,23,4,B2315-1xP1423-7,M_M,,,,,,,30-Apr,,,,,,
77,4,drought,early drought,36,2,T3105-1xT2813-2,Y_Y,,,,,12-Apr,,30-Apr,,,,,,
81,2,water,late drought,50,9,V1014-5xL624-9,Y_Y,,,,,,,26-Apr,,,,,,
82,4,drought,early drought,23,2,B2315-1xP1423-7,M_M,24-may,,28-mar,,12-Apr,,25-Apr,,,,,,
86,2,water,late drought,33,5,B2311-1xT2829-3,M_Y,,,,,,,26-Apr,,,,,,
87,3,water,late drought,30,5,V2519-8xL1502-12,Y_Y,24-Apr,,,,,,25-Apr,,,,,,
88,4,drought,early drought,32,8,T2930-2xT829-3,Y_Y,,,28-mar,,9-Apr,,25-Apr,,,,,,
89,4,drought,early drought,31,3,T2803-3xL2221-11,Y_Y,,,28-mar,,12-Apr,,30-Apr,,,,,,
90,3,water,water,30,10,V2519-8xL1502-12,Y_Y,24-Apr,,,,,,,,,,,,
91,3,water,late drought,31,8,T2803-3xL2221-11,Y_Y,03-may,,,,,,30-Apr,,,,,,
95,3,water,late drought,27,10,B723-3xT2930-2,M_Y,,,,,,,30-Apr,,,,,,
96,3,water,late drought,3,6,B1223-1xT2315-2,M_Y,24-Apr,,,,,24-Apr,,,,,1,,
100,4,drought,early drought,28,6,B1916-3xT2829-3,M_Y,24-Apr,,28-mar,,9-Apr,24-Apr,,,,,1,,
102,4,drought,early drought,22,1,B1109-1xB1503-3,M_M,,,,,,,30-Apr,,,,,,
103,3,water,late drought,16,10,B2913-2xP2409-9,M_M,19-Apr,,,,,,26-Apr,,,,,,
106,3,water,late drought,36,3,T3105-1xT2813-2,Y_Y,,,,,,,30-Apr,,,,,,
110,4,drought,early drought,50,3,V1014-5xL624-9,Y_Y,,,,,,,02-may,,,,,,
112,3,water,late drought,30,4,V2519-8xL1502-12,Y_Y,30-Apr,,,,,,30-Apr,,,,,,
113,3,water,late drought,22,11,B1109-1xB1503-3,M_M,,,,,,,25-Apr,,,,,,
114,4,drought,early drought,45,8,T515-6xL624-9,Y_Y,,,,,,,30-Apr,,,,,,
120,3,water,late drought,26,6,T829-3xT2930-2,Y_Y,,,,,,,25-Apr,,,,1,,
129,4,drought,early drought,13,1,B1223-1xB1613-3,M_M,12-Apr,,28-mar,,12-Apr,,30-Apr,,,,,,
130,3,water,water,20,1,B2913-3xB2311-1,M_M,14-may,,,,,,,,,,,,
131,3,water,water,18,9,B1613-3xT2930-2,M_Y,24-Apr,,,,,,,,,,,,
133,3,water,late drought,15,3,T2803-1xT2505-3,Y_Y,,,,,,,26-Apr,,,,,,
135,4,drought,early drought,8,4,V2118-7xL2221-11,Y_Y,,,28-mar,,9-Apr,,26-Apr,,,,,,
139,4,drought,early drought,22,5,B1109-1xB1503-3,M_M,02-may,,26-mar,,12-Apr,,25-Apr,,,,1,,
142,3,water,late drought,45,6,T515-6xL624-9,Y_Y,,,,,,,30-Apr,,,,,,
143,3,water,late drought,3,9,B1223-1xT2315-2,M_Y,24-Apr,,,,,24-Apr,,,,,1,,
149,5,water,late drought,32,11,T2930-2xT829-3,Y_Y,,,,,,,30-Apr,,,,,,
150,5,water,water,9,1,B1427-3xB3018-3,M_M,24-Apr,,,,,,,,,,,,
151,5,water,water,20,4,B2913-3xB2311-1,M_M,25-Apr,,,,,,,,,,,,
159,5,water,late drought,44,11,P1423-7xB2315-1,M_M,24-Apr,,,,,,25-Apr,,,,,,
160,4,drought,early drought,42,1,B2324-4xP513-10,M_M,,,28-mar,,9-Apr,,26-Apr,,,,,,
162,5,water,water,21,11,B1207-2xB1127-2,M_M,24-Apr,,,,,,,,,,,,
163,4,drought,early drought,46,1,T2311-6xL1502-12,Y_Y,25-Apr,,28-mar,,8-Apr,,25-Apr,,,,1,,
165,5,water,water,31,5,T2803-3xL2221-11,Y_Y,,,,,,,,,,,,,
168,5,water,water,44,6,P1423-7xB2315-1,M_M,,,,,,,,,,,,,
170,5,water,late drought,22,2,B1109-1xB1503-3,M_M,15-Apr,,,,,,25-Apr,,,,,,
171,4,drought,early drought,30,7,V2519-8xL1502-12,Y_Y,07-may,,28-mar,,12-Apr,,26-Apr,,,,,,
172,7,drought,early drought,3,3,B1223-1xT2315-2,M_Y,24-Apr,,26-mar,,12-Apr,,25-Apr,,,,,1,
174,5,water,late drought,26,2,T829-3xT2930-2,Y_Y,,,,,,,,,,,,,
179,5,water,water,3,11,B1223-1xT2315-2,M_Y,02-may,,,,,,,,,,,,
181,5,water,water,36,10,T3105-1xT2813-2,Y_Y,17-may,,,,,,,,,,,,
187,7,drought,early drought,15,2,T2803-1xT2505-3,Y_Y,,,28-mar,,12-Apr,,25-Apr,,,,,,
188,7,drought,early drought,11,5,T2420-1xT3105-1,Y_Y,,,28-mar,,12-Apr,,26-Apr,,,,,,
191,5,water,late drought,3,10,B1223-1xT2315-2,M_Y,24-Apr,,,,,24-Apr,,,,,1,,
192,5,water,water,12,8,T2315-2xT829-3,Y_Y,24-Apr,,,,,,,,,,,,
193,5,water,late drought,9,4,B1427-3xB3018-3,M_M,07-may,,,,,,30-Apr,,20-may,,,,
194,5,water,water,46,11,T2311-6xL1502-12,Y_Y,,,,,,,,,,,,,
195,6,water,late drought,50,2,V1014-5xL624-9,Y_Y,,,,,,,30-Apr,,,,,,
196,6,water,water,19,8,P513-10xB2324-3,M_M,24-may,,,,,,,,,,,,
197,6,water,late drought,32,1,T2930-2xT829-3,Y_Y,,,,,,,25-Apr,,,,1,,
199,6,water,late drought,23,12,B2315-1xP1423-7,M_M,24-Apr,,,,,,25-Apr,,,,,,
202,6,water,water,27,8,B723-3xT2930-2,M_Y,30-Apr,,,,,,,,,,,,
204,6,water,late drought,34,2,P2409-9xB2913-2,M_M,24-Apr,,,,,,25-Apr,,,,1,,
205,6,water,late drought,14,4,B711-1xB1207-3,M_M,24-Apr,,,,,,25-Apr,,,,,,
207,6,water,late drought,20,10,B2913-3xB2311-1,M_M,12-Apr,,,,,,25-Apr,,,,,,
208,7,drought,early drought,50,1,V1014-5xL624-9,Y_Y,,,,,,,30-Apr,,,,,,
213,6,water,water,28,3,B1916-3xT2829-3,M_Y,24-Apr,,,,,,,,,,,,
214,6,water,water,32,4,T2930-2xT829-3,Y_Y,,,,,,,,,,,,,
216,6,water,water,36,6,T3105-1xT2813-2,Y_Y,,,,,,,,,,,,,
218,6,water,water,14,3,B711-1xB1207-3,M_M,26-Apr,,,,,,,,,,,,
219,6,water,late drought,45,7,T515-6xL624-9,Y_Y,,,,,,,26-Apr,,,,,,
222,6,water,water,32,5,T2930-2xT829-3,Y_Y,,,,,,,,,,,,,
224,7,drought,early drought,28,4,B1916-3xT2829-3,M_Y,,,28-mar,,12-Apr,,25-Apr,,,,,,
226,6,water,water,18,4,B1613-3xT2930-2,M_Y,30-Apr,,,,,,,,,,,,
227,7,drought,early drought,34,3,P2409-9xB2913-2,M_M,,,28-mar,,,,25-Apr,,,,,,
228,8,water,late drought,13,6,B1223-1xB1613-3,M_M,12-Apr,,,,,,30-Apr,,,,,,
229,8,water,water,45,2,T515-6xL624-9,Y_Y,,,,,,,,,,,,,
231,7,drought,early drought,13,2,B1223-1xB1613-3,M_M,12-Apr,,28-mar,,9-Apr,,25-Apr,,,,,,
232,8,water,water,34,4,P2409-9xB2913-2,M_M,30-Apr,,,,,,,,,,,,
233,7,drought,early drought,9,2,B1427-3xB3018-3,M_M,30-Apr,,,,,,25-Apr,,,,,,
234,8,water,water,3,7,B1223-1xT2315-2,M_Y,25-Apr,,,,,,,,,,,,
236,8,water,water,50,4,V1014-5xL624-9,Y_Y,,,,,,,,,,,,,
238,7,drought,early drought,12,3,T2315-2xT829-3,Y_Y,,,,,12-Apr,,26-Apr,,,,,,
241,8,water,late drought,46,6,T2311-6xL1502-12,Y_Y,,,,,,,26-Apr,,,,,,
242,8,water,water,31,7,T2803-3xL2221-11,Y_Y,,,,,,24-Apr,,,,,,,
243,8,water,water,46,3,T2311-6xL1502-12,Y_Y,14-may,,,,,24-Apr,,,,,,,
245,7,drought,early drought,28,9,B1916-3xT2829-3,M_Y,24-Apr,,,,12-Apr,,25-Apr,,,,1,,
246,8,water,late drought,9,6,B1427-3xB3018-3,M_M,,,,,,24-Apr,,,,,1,,
247,8,water,late drought,28,1,B1916-3xT2829-3,M_Y,,,,,,,25-Apr,,,,,,
249,8,water,late drought,24,5,B2212-3xT2930-2,M_Y,,,,,,24-Apr,,,,,1,,
251,8,water,water,14,8,B711-1xB1207-3,M_M,30-Apr,,,,,24-Apr,,,,,,,
252,8,water,water,21,9,B1207-2xB1127-2,M_M,24-Apr,,,,,24-Apr,,,,,,,
256,8,water,water,34,12,P2409-9xB2913-2,M_M,24-Apr,,,,,24-Apr,,,,,,,
257,8,water,water,26,10,T829-3xT2930-2,Y_Y,,,,,,24-Apr,,,,,,,
259,9,water,water,33,11,B2311-1xT2829-3,M_Y,30-Apr,,,,,,,,,,,,
260,9,water,late drought,19,11,P513-10xB2324-3,M_M,,,,,,,30-Apr,,,,,,
261,9,water,late drought,32,3,T2930-2xT829-3,Y_Y,20-may,,,,,,30-Apr,,,,,,
262,9,water,late drought,42,4,B2324-4xP513-10,M_M,,,,,,,30-Apr,,,,,,
263,9,water,late drought,31,2,T2803-3xL2221-11,Y_Y,03-may,,,,,,30-Apr,,,,,,
268,7,drought,early drought,30,2,V2519-8xL1502-12,Y_Y,,,,,12-Apr,,26-Apr,,,,,,
269,7,drought,early drought,46,5,T2311-6xL1502-12,Y_Y,,,28-mar,,12-Apr,,26-Apr,,,,,,
271,7,drought,early drought,21,5,B1207-2xB1127-2,M_M,24-Apr,,26-mar,,12-Apr,,25-Apr,,,,,,
273,9,water,water,8,6,V2118-7xL2221-11,Y_Y,,,,,,,,,,,,,
275,9,water,water,8,3,V2118-7xL2221-11,Y_Y,24-Apr,,,,,,,,,,,,
277,9,water,late drought,8,2,V2118-7xL2221-11,Y_Y,,,,,,,30-Apr,,,,,,
278,9,water,late drought,13,12,B1223-1xB1613-3,M_M,19-Apr,,,,,,26-Apr,,,,,,
279,7,drought,early drought,8,5,V2118-7xL2221-11,Y_Y,25-Apr,,28-mar,,12-Apr,,30-Apr,,,,,,
282,9,water,water,16,8,B2913-2xP2409-9,M_M,25-Apr,,,,,,,,,,,,
288,7,drought,early drought,36,5,T3105-1xT2813-2,Y_Y,,,,,,,30-Apr,,,,,,
289,9,water,late drought,21,2,B1207-2xB1127-2,M_M,,,,,,,02-may,,,,,,
291,10,drought,early drought,21,4,B1207-2xB1127-2,M_M,,,26-mar,,8-Apr,24-Apr,,,,,,,
294,9,water,late drought,11,6,T2420-1xT3105-1,Y_Y,,,,,,,30-Apr,,,,,,
295,10,drought,early drought,19,2,P513-10xB2324-3,M_M,24-may,,28-mar,,8-Apr,24-Apr,,,,,,,
296,10,drought,early drought,32,7,T2930-2xT829-3,Y_Y,,,26-mar,,8-Apr,,25-Apr,,,,,1,
297,9,water,late drought,21,6,B1207-2xB1127-2,M_M,03-may,,,,,,30-Apr,,,,,,
